Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,0.7268291417,-15.00941467,-49.65184882,-32.31095412,-73.10229876,108.2212588,-40.71770662,177.007115,
2000000,0.3546937827,-30.43567781,-68.18674482,36.30361533,-58.18239899,43.80935931,-40.90790564,-177.4263172,
3000000,-0.145060608,-42.93197698,-74.11279531,36.53901276,-47.82187382,26.08465371,-40.36168954,178.1617585,
4000000,-0.8637923355,-54.36972934,-78.11687515,80.92420686,-41.46065247,8.630918369,-40.10904157,178.7162151,
5000000,-1.696288745,-64.36801918,-82.23923563,91.13620764,-37.06566271,-5.988060691,-39.97223197,178.2501348,
6000000,-2.53952571,-72.7169179,-82.64480896,110.130743,-33.7833653,-18.63859178,-39.81443743,177.7594149,
7000000,-3.320541467,-80.21601803,-69.09561348,78.61893406,-31.1732531,-30.09006017,-39.68162466,176.9505189,
8000000,-3.940247427,-87.23608421,-68.02662702,165.1683738,-29.05779385,-40.15233864,-39.58433942,176.1010786,
9000000,-4.500202194,-92.76172273,-81.16830596,166.2054349,-27.31942286,-49.61344991,-39.48887617,175.215106,
10000000,-4.901644797,-97.77262385,-81.626211,144.4274559,-25.90027885,-58.87506833,-39.46022975,173.9372157,
11000000,-5.283761843,-102.6102634,-81.37317864,135.2166867,-24.68287829,-66.7949109,-39.43509659,172.9560378,
12000000,-5.444640522,-106.925869,-80.30616132,81.57312655,-23.47163941,-74.08437246,-39.39116839,171.8007738,
13000000,-5.683977309,-110.1328001,-79.52979942,79.47930614,-22.43618217,-81.16894079,-39.34317486,170.6238657,
14000000,-5.751172714,-112.8826445,-76.29866857,108.3586827,-21.47297982,-88.37379595,-39.36634249,169.726656,
15000000,-5.775955324,-115.0272218,-73.94956309,99.76374507,-20.71073099,-95.63376709,-39.35702544,168.8111854,
16000000,-5.74027934,-117.5245737,-78.79727177,95.24378343,-20.08852377,-102.8275741,-39.38642401,167.7725731,
17000000,-5.57480038,-119.4500013,-74.20627301,99.73799533,-19.55359703,-109.2060801,-39.35696879,166.9331986,
